date,close
2016-09-06,100.0250015258789
2016-09-07,102.4250030517578
2016-09-08,101.4000015258789
2016-09-09,104.4000015258789
2016-09-12,105.6999969482422
2016-09-13,104.6750030517578
2016-09-14,105.8000030517578
2016-09-15,106.9499969482422
2016-09-16,107.875
2016-09-19,107.9000015258789
2016-09-20,107.6750030517578
2016-09-21,108.5500030517578
2016-09-22,107.0749969482422
2016-09-23,107.2750015258789
2016-09-26,106.8249969482422
2016-09-27,103.8249969482422
2016-09-28,103.4749984741211
2016-09-29,101.9000015258789
2016-09-30,98.9000015258789
2016-10-03,98.9250030517578
2016-10-04,101.9000015258789
2016-10-05,102.8499984741211
2016-10-06,102.4250030517578
2016-10-07,101.875
2016-10-11,97.5
2016-10-12,96.75
2016-10-13,94.4499969482422
2016-10-14,95.9000015258789
2016-10-17,97.2750015258789
2016-10-18,97.75
2016-10-19,96.0250015258789
2016-10-20,99.0250015258789
2016-10-21,101.1500015258789
2016-10-24,103.125
2016-10-25,102.7249984741211
2016-10-26,103.0500030517578
2016-10-27,104.125
2016-10-28,104.1999969482422
2016-10-31,103.0999984741211
2016-11-01,105.5250015258789
2016-11-02,105.375
2016-11-03,104.0749969482422
2016-11-04,102.7249984741211
2016-11-07,101.6500015258789
2016-11-08,102.5999984741211
2016-11-09,103.4749984741211
2016-11-10,104.5
2016-11-14,105.5749969482422
2016-11-15,105.4749984741211
2016-11-16,108.1999969482422
2016-11-17,108.2249984741211
2016-11-18,108.3249969482422
2016-11-21,109.0250015258789
2016-11-22,109.3499984741211
2016-11-23,109.6750030517578
2016-11-25,110.75
2016-11-28,109.3000030517578
2016-11-29,108.9250030517578
2016-11-30,110.75
2016-12-01,110.5749969482422
2016-12-02,108.2249984741211
2016-12-05,107.8249969482422
2016-12-06,109.8499984741211
2016-12-07,109.375
2016-12-08,109.0500030517578
2016-12-09,108.7249984741211
2016-12-12,110.3499984741211
2016-12-13,111.125
2016-12-14,111.0999984741211
2016-12-15,110.7249984741211
2016-12-16,112.3249969482422
2016-12-19,111.9499969482422
2016-12-20,112.0999984741211
2016-12-21,113.2750015258789
2016-12-22,114.0
2016-12-23,114.5749969482422
2016-12-27,114.9499969482422
2016-12-28,115.9749984741211
2016-12-29,118.6999969482422
2016-12-30,119.0
2017-01-03,114.875
2017-01-04,115.6750030517578
2017-01-05,115.0749969482422
2017-01-06,114.8249969482422
2017-01-09,116.5250015258789
2017-01-10,119.5250015258789
2017-01-11,119.125
2017-01-12,117.4749984741211
2017-01-13,118.5250015258789
2017-01-17,119.5749969482422
2017-01-18,120.2750015258789
2017-01-19,121.0250015258789
2017-01-20,120.25
2017-01-23,120.25
2017-01-24,119.6750030517578
2017-01-25,119.875
2017-01-26,118.6999969482422
2017-01-27,118.3249969482422
2017-01-30,116.1750030517578
2017-01-31,115.5999984741211
2017-02-01,115.5749969482422
2017-02-02,116.875
2017-02-03,116.9000015258789
2017-02-06,116.4250030517578
2017-02-07,117.6750030517578
2017-02-08,116.7750015258789
2017-02-09,117.6500015258789
2017-02-10,116.4000015258789
2017-02-13,115.9250030517578
2017-02-14,117.375
2017-02-15,116.7750015258789
2017-02-16,116.5250015258789
2017-02-17,117.9250030517578
2017-02-21,119.0999984741211
2017-02-22,121.3000030517578
2017-02-23,123.0749969482422
2017-02-24,123.75
2017-02-27,125.375
2017-02-28,126.5999984741211
2017-03-01,117.5749969482422
2017-03-02,116.1500015258789
2017-03-03,115.9749984741211
2017-03-06,115.5500030517578
2017-03-07,115.3499984741211
2017-03-08,115.9749984741211
2017-03-09,116.5
2017-03-10,117.5999984741211
2017-03-13,117.75
2017-03-14,116.3249969482422
2017-03-15,117.6999969482422
2017-03-16,119.1999969482422
2017-03-17,119.3249969482422
2017-03-20,118.9000015258789
2017-03-21,119.9000015258789
2017-03-22,122.4499969482422
2017-03-23,121.7750015258789
2017-03-24,122.0999984741211
2017-03-27,121.0749969482422
2017-03-28,120.7750015258789
2017-03-29,121.3499984741211
2017-03-30,120.0
2017-03-31,119.9499969482422
2017-04-03,119.4250030517578
2017-04-04,118.2249984741211
2017-04-05,118.2750015258789
2017-04-06,118.8000030517578
2017-04-07,120.0500030517578
2017-04-10,121.0999984741211
2017-04-11,123.25
2017-04-12,124.1999969482422
2017-04-13,125.375
2017-04-17,126.4250030517578
2017-04-18,126.7750015258789
2017-04-19,127.9250030517578
2017-04-20,129.625
2017-04-21,129.8000030517578
2017-04-24,129.0
2017-04-25,129.8249969482422
2017-04-26,132.02499389648438
2017-04-27,135.60000610351562
2017-04-28,138.0
2017-05-01,124.125
2017-05-02,127.0500030517578
2017-05-03,130.0500030517578
2017-05-04,131.3000030517578
2017-05-05,128.3000030517578
2017-05-08,127.7750015258789
2017-05-09,124.9749984741211
2017-05-10,124.1999969482422
2017-05-11,123.9250030517578
2017-05-12,125.1750030517578
2017-05-15,122.4499969482422
2017-05-16,121.9000015258789
2017-05-17,122.4499969482422
2017-05-18,122.9250030517578
2017-05-19,123.4499969482422
2017-05-22,123.9250030517578
2017-05-23,123.0749969482422
2017-05-24,122.125
2017-05-25,123.9250030517578
2017-05-26,122.6999969482422
2017-05-30,122.9749984741211
2017-05-31,124.4250030517578
2017-06-01,127.4250030517578
2017-06-02,130.8249969482422
2017-06-05,132.10000610351562
2017-06-06,130.1999969482422
2017-06-07,131.1999969482422
2017-06-08,131.375
2017-06-09,131.25
2017-06-12,128.35000610351562
