household_id,UF,SITUACAO
110022774_7,11,1
110022774_8,11,1
110022774_9,11,1
110022774_10,11,1
110022774_12,11,1
110001197_1,11,1
110001197_3,11,1
110001197_4,11,1
110001197_6,11,1
110001197_7,11,1
110001197_9,11,1
110001197_10,11,1
110001197_11,11,1
110001197_12,11,1
110001197_13,11,1
110018605_2,11,1
110018605_3,11,1
110018605_5,11,1
110018605_6,11,1
110018605_7,11,1
110018605_8,11,1
110018605_9,11,1
110018605_12,11,1
110018605_13,11,1
110009642_3,11,2
110009642_5,11,2
110009642_6,11,2
110009642_7,11,2
110009642_8,11,2
110009642_9,11,2
110009642_10,11,2
110009642_12,11,2
110009642_13,11,2
110009642_14,11,2
110009642_15,11,2
110009642_16,11,2
110009642_17,11,2
110002023_1,11,1
110002023_2,11,1
110002023_5,11,1
110002023_6,11,1
110002023_8,11,1
110002023_9,11,1
110002023_10,11,1
110002023_12,11,1
110002023_13,11,1
110020185_1,11,1
110020185_2,11,1
110020185_3,11,1
110020185_4,11,1
110020185_5,11,1
110020185_6,11,1
110020185_8,11,1
110020185_9,11,1
110020185_10,11,1
110020185_11,11,1
110020185_12,11,1
110020185_13,11,1
110019802_2,11,1
110019802_7,11,1
110019802_8,11,1
110019802_10,11,1
110019802_12,11,1
110019802_13,11,1
110017886_1,11,2
110017886_3,11,2
110017886_4,11,2
110017886_6,11,2
110017886_7,11,2
110017886_8,11,2
110017886_9,11,2
110017886_11,11,2
110017886_12,11,2
110017886_13,11,2
110017886_14,11,2
110017886_15,11,2
110017886_16,11,2
110017886_17,11,2
110007280_1,11,2
110007280_2,11,2
110007280_3,11,2
110007280_4,11,2
110007280_5,11,2
110007280_7,11,2
110007280_8,11,2
110007280_9,11,2
110007280_10,11,2
110007280_11,11,2
110007280_12,11,2
110007280_13,11,2
110007280_14,11,2
110007280_15,11,2
110007280_16,11,2
110007280_17,11,2
110007136_1,11,2
110007136_2,11,2
110007136_3,11,2
110007136_4,11,2
110007136_5,11,2
110007136_6,11,2
110007136_7,11,2
110007136_8,11,2
110007136_9,11,2
110007136_11,11,2
110007136_12,11,2
110007136_13,11,2
110007136_14,11,2
110007136_15,11,2
110016218_2,11,1
110016218_3,11,1
110016218_4,11,1
110016218_6,11,1
110016218_7,11,1
110016218_8,11,1
110016218_9,11,1
110016218_11,11,1
110016218_12,11,1
110016218_13,11,1
110004906_1,11,1
110004906_2,11,1
110004906_5,11,1
110004906_6,11,1
110004906_7,11,1
110004906_8,11,1
110004906_9,11,1
110004906_10,11,1
110004906_11,11,1
110004906_12,11,1
110004906_13,11,1
110015989_2,11,1
110015989_3,11,1
110015989_4,11,1
110015989_5,11,1
110015989_6,11,1
110015989_7,11,1
110015989_8,11,1
110015989_9,11,1
110015989_10,11,1
110015989_11,11,1
110015989_12,11,1
110001665_2,11,2
110001665_4,11,2
110001665_5,11,2
110001665_7,11,2
110001665_8,11,2
110001665_9,11,2
110001665_10,11,2
110001665_12,11,2
110001665_14,11,2
110001665_16,11,2
110021994_13,11,2
110021994_14,11,2
110021994_16,11,2
110021994_17,11,2
110004444_3,11,2
110004444_5,11,2
110004444_6,11,2
110004444_7,11,2
110004444_8,11,2
110004444_9,11,2
110004444_10,11,2
110004444_12,11,2
110004444_13,11,2
110004444_14,11,2
110004444_15,11,2
110004444_16,11,2
110004444_17,11,2
110021994_1,11,2
110021994_2,11,2
110021994_4,11,2
110021994_5,11,2
110021994_6,11,2
110021994_7,11,2
110021994_9,11,2
110021994_11,11,2
110009624_2,11,1
110009624_4,11,1
110018880_2,11,1
110018880_3,11,1
110018880_4,11,1
110018880_6,11,1
110018880_8,11,1
110018880_9,11,1
110018880_11,11,1
110018880_13,11,1
110015166_1,11,1
110015166_2,11,1
110015166_4,11,1
110015166_6,11,1
110015166_11,11,1
110015166_12,11,1
110002149_1,11,1
110002149_2,11,1
110002149_3,11,1
110002149_4,11,1
110002149_5,11,1
110002149_6,11,1
110002149_7,11,1
110002149_8,11,1
110002149_10,11,1
110002149_11,11,1
110002149_12,11,1
110002149_13,11,1
110005539_1,11,1
110005539_2,11,1
110005539_4,11,1
110005539_5,11,1
110005539_6,11,1
110005539_8,11,1
110005539_9,11,1
110005539_10,11,1
110018159_5,11,1
110018159_6,11,1
110018159_9,11,1
110018159_11,11,1
110001278_1,11,1
110001278_2,11,1
110001278_4,11,1
110001278_5,11,1
110001278_7,11,1
110001278_9,11,1
110021380_1,11,1
110021380_2,11,1
110021380_3,11,1
110021380_7,11,1
110021380_9,11,1
110021380_10,11,1
110021380_12,11,1
110021380_13,11,1
110004557_1,11,1
110004557_3,11,1
110004557_12,11,1
110005362_1,11,1
110005362_3,11,1
110005362_4,11,1
110005362_5,11,1
110005362_7,11,1
110005362_8,11,1
110005362_12,11,1
110000584_2,11,1
110000584_3,11,1
110000584_6,11,1
110000584_8,11,1
110000584_9,11,1
110000584_10,11,1
110000584_11,11,1
110000584_12,11,1
110006466_9,11,1
110006466_11,11,1
110006466_13,11,1
110013477_3,11,1
110013477_5,11,1
110013477_7,11,1
110013477_9,11,1
110013477_10,11,1
110013477_12,11,1
110013477_13,11,1
110008539_3,11,1
110008539_4,11,1
110008539_6,11,1
110008539_9,11,1
110008539_10,11,1
110008539_11,11,1
110008539_12,11,1
110006466_7,11,1
110019110_2,11,1
110019110_3,11,1
110019110_4,11,1
110019110_5,11,1
110019110_6,11,1
110019110_7,11,1
110019110_8,11,1
110019110_9,11,1
110019110_10,11,1
110019110_11,11,1
110019110_12,11,1
110022472_1,11,1
110022472_2,11,1
110022472_5,11,1
110022472_6,11,1
110022472_8,11,1
110022472_9,11,1
110022472_10,11,1
110022472_11,11,1
110022472_12,11,1
110022472_13,11,1
110008064_2,11,1
110008064_3,11,1
110008064_5,11,1
110008064_9,11,1
110008064_10,11,1
110008064_12,11,1
110008064_13,11,1
110020616_1,11,1
110020616_2,11,1
110020616_3,11,1
110020616_4,11,1
110020616_5,11,1
110020616_6,11,1
110020616_7,11,1
110000016_2,11,1
110000016_3,11,1
110000016_4,11,1
110000016_5,11,1
110000016_7,11,1
110000016_8,11,1
110000016_9,11,1
110000016_10,11,1
110000016_12,11,1
110000016_13,11,1
110001098_1,11,1
110001098_2,11,1
110001098_3,11,1
110001098_4,11,1
110001098_7,11,1
110001098_8,11,1
110001098_10,11,1
110001098_11,11,1
110001098_12,11,1
110017920_1,11,1
110017920_2,11,1
110017920_3,11,1
110017920_4,11,1
110017920_8,11,1
110017920_10,11,1
110017920_11,11,1
110017920_12,11,1
110017920_13,11,1
110020158_1,11,1
110020158_2,11,1
110020158_3,11,1
110020158_4,11,1
110020158_7,11,1
110020158_8,11,1
110020158_11,11,1
110020158_12,11,1
110020158_13,11,1
110017115_1,11,2
110017115_2,11,2
110017115_3,11,2
110017115_4,11,2
110017115_5,11,2
110017115_6,11,2
110017115_7,11,2
110017115_9,11,2
110017115_10,11,2
110017115_11,11,2
110017115_12,11,2
110017115_13,11,2
110017115_14,11,2
110017115_16,11,2
110017115_17,11,2
110021533_1,11,2
110021533_4,11,2
110021533_5,11,2
110021533_6,11,2
110021533_7,11,2
110021533_8,11,2
110021533_10,11,2
110021533_11,11,2
110021533_13,11,2
110021533_14,11,2
110021533_15,11,2
110021533_16,11,2
110021533_17,11,2
110017170_2,11,2
110017170_3,11,2
110017170_4,11,2
110017170_5,11,2
110017170_6,11,2
110017170_8,11,2
110017170_9,11,2
110017170_13,11,2
110017170_15,11,2
110017170_16,11,2
110017170_17,11,2
110016081_1,11,1
110016081_2,11,1
110016081_3,11,1
110016081_4,11,1
110016081_5,11,1
110016081_6,11,1
110016081_8,11,1
110016081_10,11,1
110016081_12,11,1
110008082_1,11,2
110008082_3,11,2
110008082_4,11,2
110008082_6,11,2
110008082_9,11,2
110008082_11,11,2
110008082_12,11,2
110008082_13,11,2
110008082_15,11,2
110008082_16,11,2
110008082_17,11,2
110014602_1,11,1
110014602_2,11,1
110014602_3,11,1
110014602_4,11,1
110014602_5,11,1
110014602_10,11,1
110014602_13,11,1
110017222_1,11,1
110017222_2,11,1
110017222_3,11,1
110017222_4,11,1
110017222_6,11,1
110017222_7,11,1
110017222_9,11,1
110017222_10,11,1
110017222_12,11,1
110017222_13,11,1
110012448_1,11,1
110012448_2,11,1
110012448_3,11,1
110012448_4,11,1
110012448_5,11,1
110012448_6,11,1
110012448_7,11,1
110012448_8,11,1
110012448_9,11,1
110012448_11,11,1
110012448_12,11,1
110012448_13,11,1
110006375_1,11,1
110006375_2,11,1
110006375_3,11,1
110006375_4,11,1
110006375_5,11,1
110006375_6,11,1
110006375_7,11,1
110006375_8,11,1
110006375_9,11,1
110006375_10,11,1
110006375_13,11,1
110011003_2,11,1
110011003_3,11,1
110011003_4,11,1
110011003_5,11,1
110011003_6,11,1
110011003_7,11,1
110011003_11,11,1
110011003_12,11,1
110011003_13,11,1
110021335_1,11,1
110021335_3,11,1
110021335_4,11,1
110021335_7,11,1
110021335_9,11,1
110021335_13,11,1
110013199_1,11,2
110013199_2,11,2
110013199_3,11,2
110013199_4,11,2
110013199_5,11,2
110013199_6,11,2
110013199_7,11,2
110013199_8,11,2
110013199_11,11,2
110013199_12,11,2
110013199_13,11,2
110013199_15,11,2
110013199_16,11,2
110013199_17,11,2
110019744_1,11,1
110019744_2,11,1
110019744_3,11,1
110019744_4,11,1
110019744_5,11,1
110019744_6,11,1
110019744_7,11,1
110019744_8,11,1
110019744_9,11,1
110019744_10,11,1
110019744_11,11,1
110019744_13,11,1
110021920_1,11,1
110021920_2,11,1
110021920_3,11,1
110021920_4,11,1
110021920_5,11,1
110021920_7,11,1
110021920_9,11,1
110021920_10,11,1
110021920_11,11,1
110021920_12,11,1
110021920_13,11,1
110012642_1,11,1
110012642_3,11,1
110012642_4,11,1
110012642_5,11,1
110012642_6,11,1
110012642_7,11,1
110012642_8,11,1
110012642_9,11,1
110012642_11,11,1
110012642_12,11,1
110012642_13,11,1
110002050_1,11,1
110002050_2,11,1
110002050_7,11,1
110002050_8,11,1
110002050_9,11,1
110002050_12,11,1
110002050_13,11,1
110006493_1,11,2
110006493_2,11,2
110006493_3,11,2
110006493_4,11,2
110006493_5,11,2
110006493_6,11,2
110006493_7,11,2
110006493_8,11,2
110006493_9,11,2
110006493_11,11,2
110006493_12,11,2
110006493_14,11,2
110006493_15,11,2
110006493_17,11,2
110010600_1,11,1
110010600_2,11,1
110010600_3,11,1
110010600_5,11,1
110010600_7,11,1
110010600_9,11,1
110010600_10,11,1
110010600_11,11,1
110010600_12,11,1
110018411_1,11,1
110018411_2,11,1
110018411_3,11,1
110018411_5,11,1
110018411_6,11,1
110018411_7,11,1
110018411_8,11,1
110018411_9,11,1
110018411_10,11,1
110018411_11,11,1
110018411_13,11,1
110005954_1,11,1
110005954_3,11,1
110005954_4,11,1
110005954_5,11,1
110005954_8,11,1
110005954_9,11,1
110005954_10,11,1
110005954_11,11,1
110005954_12,11,1
110017035_1,11,1
110017035_2,11,1
110017035_3,11,1
110017035_4,11,1
110017035_5,11,1
110017035_7,11,1
110017035_8,11,1
110017035_9,11,1
110017035_11,11,1
110017035_13,11,1
110005150_1,11,2
110005150_2,11,2
110005150_3,11,2
110005150_4,11,2
110005150_5,11,2
110005150_6,11,2
110005150_7,11,2
110005150_8,11,2
110005150_9,11,2
110005150_10,11,2
110005150_11,11,2
110005150_12,11,2
110005150_13,11,2
110005150_15,11,2
110005150_16,11,2
110005150_17,11,2
110002041_1,11,2
110002041_2,11,2
110002041_3,11,2
110002041_4,11,2
110002041_6,11,2
110002041_7,11,2
110002041_11,11,2
110002041_12,11,2
110002041_13,11,2
110002041_8,11,2
110002041_14,11,2
110002041_16,11,2
110002041_17,11,2
110012518_1,11,1
110012518_2,11,1
110012518_3,11,1
110012518_4,11,1
110012518_5,11,1
110012518_6,11,1
110012518_7,11,1
110012518_8,11,1
110012518_9,11,1
110012518_11,11,1
110012518_12,11,1
110012518_13,11,1
110021010_1,11,2
110021010_2,11,2
110021010_3,11,2
110021010_5,11,2
110021010_6,11,2
110021010_7,11,2
110021010_9,11,2
110021010_10,11,2
110021010_12,11,2
110021010_13,11,2
110021010_14,11,2
110021010_15,11,2
110004152_1,11,2
110004152_3,11,2
110004152_4,11,2
110004152_5,11,2
110004152_6,11,2
110004152_7,11,2
110004152_8,11,2
110004152_9,11,2
110004152_10,11,2
110004152_11,11,2
110004152_12,11,2
110004152_14,11,2
110004152_15,11,2
110004152_16,11,2
110004152_17,11,2
110008778_1,11,2
110008778_2,11,2
110008778_3,11,2
110008778_4,11,2
110008778_5,11,2
110008778_6,11,2
110008778_7,11,2
110008778_8,11,2
110008778_9,11,2
110008778_10,11,2
110008778_11,11,2
110008778_12,11,2
110008778_13,11,2
110008778_14,11,2
110008778_15,11,2
110008778_16,11,2
110008778_17,11,2
110000602_1,11,1
110000602_2,11,1
110000602_4,11,1
110000602_5,11,1
110000602_6,11,1
110000602_7,11,1
110000602_8,11,1
110000602_9,11,1
110000602_10,11,1
110000602_11,11,1
110000602_13,11,1
110013527_4,11,2
110013527_5,11,2
110013527_6,11,2
110013527_7,11,2
110013527_8,11,2
110013527_9,11,2
110013527_10,11,2
110013527_11,11,2
110013527_13,11,2
110013527_14,11,2
110001240_1,11,1
110001240_2,11,1
110001240_3,11,1
110001240_4,11,1
110001240_6,11,1
110001240_7,11,1
110001240_8,11,1
110001240_9,11,1
110001240_11,11,1
110001240_12,11,1
110001240_13,11,1
110008133_1,11,2
110008133_2,11,2
110008133_3,11,2
110008133_4,11,2
110008133_5,11,2
110008133_6,11,2
110008133_7,11,2
110008133_8,11,2
110008133_9,11,2
110008133_10,11,2
110008133_11,11,2
110008133_12,11,2
110008133_13,11,2
110008133_14,11,2
110008133_15,11,2
110008133_16,11,2
110008133_17,11,2
110017062_1,11,1
110017062_2,11,1
110017062_3,11,1
110017062_4,11,1
110017062_6,11,1
110017062_7,11,1
110017062_8,11,1
110017062_10,11,1
110017062_11,11,1
110017062_12,11,1
110017062_13,11,1
120004720_2,12,1
120004720_3,12,1
120004720_4,12,1
120004720_5,12,1
120004720_10,12,1
120004720_7,12,1
120004720_12,12,1
120004720_13,12,1
120001081_1,12,1
120001081_2,12,1
120001081_3,12,1
120001081_4,12,1
120001081_5,12,1
120001081_6,12,1
120001081_7,12,1
120001081_8,12,1
120001081_9,12,1
120001081_11,12,1
120001081_12,12,1
120006740_11,12,2
120006740_12,12,2
120006740_13,12,2
120006740_14,12,2
120006740_15,12,2
120006740_2,12,2
120006740_3,12,2
120006740_4,12,2
120006740_5,12,2
120006740_7,12,2
120006740_9,12,2
120006740_10,12,2
120010355_1,12,1
120010355_2,12,1
120010355_3,12,1
120010355_4,12,1
120010355_8,12,1
120010355_9,12,1
120010355_10,12,1
120010355_11,12,1
120010355_12,12,1
120010355_13,12,1
120002842_1,12,1
120002842_2,12,1
120002842_3,12,1
120002842_5,12,1
120002842_7,12,1
120002842_8,12,1
120002842_9,12,1
120002842_10,12,1
120002842_11,12,1
120002842_13,12,1
120008357_1,12,1
120008357_2,12,1
120008357_3,12,1
120008357_4,12,1
120008357_6,12,1
120008357_7,12,1
120008357_8,12,1
120008357_9,12,1
120008357_10,12,1
120008357_11,12,1
120008357_12,12,1
120005984_1,12,1
